galaxy,n_pts,rmse_kms,v_flat_kms,g_bar_max_over_a0,bulge_fraction,gas_fraction,log_sb_central,mond_fraction,quality_flag
F579-V1,14,22.1207,114.0000,0.1487,0.0000,0.2404,2.0235,1.0000,✗
UGC05253,73,22.1547,218.0000,36.6759,0.5224,0.0473,2.8851,0.2466,✗
NGC4100,24,22.2361,159.0000,0.8657,0.0000,0.1540,2.5272,1.0000,✗
NGC5033,22,22.4333,196.0000,20.5753,0.2137,0.2366,3.0913,0.7727,✗
NGC0891,18,22.7490,208.0000,15.3880,0.1511,0.0848,3.2946,0.5000,✗
NGC3953,8,23.3613,215.0000,1.5942,0.0000,0.0496,2.5408,0.6250,✗
UGC04305,22,23.6435,33.0000,0.1036,0.0000,0.6192,1.7689,1.0000,✗
UGC09037,22,24.1531,152.0000,1.0403,0.0000,0.3925,2.3714,0.9545,✗
NGC5907,19,24.6821,214.0000,0.8516,0.0000,0.2860,2.3877,1.0000,✗
UGC08699,41,24.7997,183.0000,24.1234,0.2959,0.1035,3.0514,0.6585,✗
NGC0024,29,26.3025,110.0000,0.3613,0.0000,0.1860,2.4877,1.0000,✗
NGC0801,13,26.3905,216.0000,3.8623,0.0000,0.1912,3.3625,0.6154,✗
UGC09133,68,26.4532,229.0000,25.9355,0.2742,0.2040,3.1151,0.5000,✗
NGC2903,34,26.4618,180.0000,16.3766,0.0000,0.1001,3.4774,0.5588,✗
F563-V2,10,26.8528,118.0000,0.0888,0.0000,0.6768,1.7799,1.0000,✗
F571-8,13,26.9872,144.0000,1.2631,0.0000,0.0538,2.8485,0.8462,✗
UGC11557,12,26.9926,84.5000,0.3045,0.0000,0.1729,2.3551,1.0000,✗
UGC07125,13,27.2453,64.9000,0.0887,0.0000,0.7716,1.3071,1.0000,✗
UGC03546,30,27.4387,193.0000,46.5499,0.2937,0.0624,3.2632,0.4333,✗
F563-V1,6,27.4854,27.3000,0.0316,0.0000,0.5767,0.9690,1.0000,✗
F561-1,6,28.7199,50.4000,0.0726,0.0000,0.3895,1.2921,1.0000,✗
F568-V1,15,28.9833,118.0000,0.0936,0.0000,0.4817,1.7838,1.0000,✗
UGC06628,7,29.6021,42.3000,0.1051,0.0000,0.4240,1.5193,1.0000,✗
UGC07399,10,30.8452,106.0000,0.2272,0.0000,0.5458,1.5954,1.0000,✗
UGC02885,19,31.0646,298.0000,8.4651,0.0998,0.3013,2.8181,0.8421,✗
NGC5371,19,31.0872,213.0000,5.3597,0.0000,0.0922,2.8604,0.7368,✗
UGC02455,8,33.7357,61.0000,0.5686,0.0000,0.2636,2.4414,1.0000,✗
F568-1,12,33.7613,142.0000,0.0765,0.0000,0.5615,1.7622,1.0000,✗
NGC2998,13,34.0302,203.0000,1.4301,0.0000,0.2718,3.0757,0.6923,✗
IC4202,32,34.7275,247.0000,4.4346,0.2116,0.1162,2.5084,0.7188,✗
NGC7814,18,35.2747,214.0000,35.8008,0.6926,0.0360,2.4975,0.6111,✗
NGC4389,6,35.5542,110.0000,1.1579,0.0000,0.0410,2.5900,0.6667,✗
F574-2,5,36.1148,40.0000,0.0359,0.0000,0.5461,0.9930,1.0000,✗
UGC06973,9,37.1815,180.0000,10.3828,0.1616,0.0546,2.5580,0.4444,✗
UGC03205,48,37.3574,220.0000,7.2128,0.1591,0.1236,2.7805,0.5000,✗
NGC3992,9,37.3861,237.0000,0.6932,0.0000,0.1368,2.0915,1.0000,✗
NGC4217,19,40.9385,178.0000,5.2488,0.7837,0.0556,2.1167,0.5263,✗
NGC6674,15,40.9695,242.0000,3.0157,0.0803,0.2266,2.4505,0.8667,✗
UGC06787,71,42.2215,255.0000,60.6618,0.5246,0.0634,2.7794,0.3803,✗
UGC02953,115,44.5900,272.0000,30.5843,0.1361,0.0485,3.4471,0.3304,✗
UGC06786,45,45.5979,211.0000,19.9705,0.2818,0.0865,2.7032,0.4667,✗
UGC11914,65,48.0547,305.0000,30.8184,0.3688,0.0087,3.3742,0.0000,✗
UGC12506,31,50.7714,225.0000,0.4435,0.0000,0.3546,2.4860,1.0000,✗
ESO563-G021,30,65.3057,312.0000,1.4432,0.0000,0.1194,2.9990,0.9000,✗
NGC2841,50,75.3398,294.0000,4.1656,0.2135,0.2980,2.7305,0.5200,✗
UGC02487,17,86.3759,333.0000,1.6947,0.2362,0.1034,2.4640,0.7647,✗
NGC5985,33,90.1609,285.0000,1.1727,0.0543,0.0779,2.4749,0.9697,✗
