galaxy,rmse_kms,v_flat_kms,g_bar_max_over_a0,n_points,bulge_fraction,gas_fraction,log_sb_central,mond_fraction,profile_shape,inner_slope
UGC00128,11.7537,125.0,0.0932,22,0.0,0.7069507071942092,1.4488762951541208,1.0,-0.0671641791044275,0.5911999999995271
UGC00191,8.373,83.85,0.1264,9,0.0,0.5768665208277424,1.8992238951088238,1.0,0.0,0.23732856290967522
UGC00731,10.8753,73.9,0.0405,12,0.0,0.9298749638433683,0.595606434865603,1.0,-0.0013513513513494484,0.36806495263820277
UGC00891,5.9156,63.75,0.0482,5,0.0,0.763820749493978,0.4815859363676222,1.0,0.0,0.5615686274500994
UGC01230,19.6899,103.0,0.1023,11,0.0,0.7596052027916663,1.6352926956511322,1.0,-0.08849557522116062,0.8271844660186144
UGC01281,2.5502,56.9,0.044,25,0.0,0.6385544938230415,1.358144324512175,1.0,0.0,0.16854130052694458
UGC02023,11.2447,58.8,0.0997,5,0.0,0.3622900099496357,1.546431608077343,1.0,0.0,0.557823129250752
UGC02259,16.8406,90.0,0.0937,8,0.0,0.530920739518529,1.488423793723904,1.0,0.0,0.296666666666337
UGC02455,33.7357,61.0,0.5686,8,0.0,0.2636071700762524,2.441366738286047,1.0,0.0,0.26393442622907554
UGC02487,86.3759,333.0,1.6947,17,0.23620854752565618,0.10340312553185722,2.4639989379452887,0.7647058823529411,-0.1305483028720286,-0.030030030030021013
UGC02885,31.0646,298.0,8.4651,19,0.09981143458453426,0.301327933245881,2.818081324734461,0.8421052631578947,-0.022950819672123625,-0.11409395973150534
UGC02916,22.1065,181.0,9.359,43,0.5897597153672668,0.15620089755383376,2.302398037800922,0.4186046511627907,-0.169724770642124,0.15469613259659962
UGC02953,44.59,272.0,30.5843,115,0.13614026656501266,0.048496582627807754,3.4470558050034783,0.33043478260869563,-0.14733542319744597,0.0
UGC03205,37.3574,220.0,7.2128,48,0.15911265123150878,0.12355915750471137,2.7805052496786202,0.5,-0.07172995780587692,0.227272727272624
UGC03546,27.4387,193.0,46.5499,30,0.2936643678572663,0.06236820299941852,3.2632314064043983,0.43333333333333335,-0.2633587786258537,-0.1450777202071787
UGC03580,18.1265,124.0,4.906,47,0.1995553020498945,0.3243891978616973,2.777804400152778,0.5957446808510638,-0.053435114503776006,0.12419354838699655
UGC04278,9.2283,92.8,0.0895,25,0.0,0.5543972303114729,1.8253676885708963,1.0,0.0,0.2895474137927915
UGC04305,23.6435,33.0,0.1036,22,0.0,0.6191640500903105,1.7689413356288175,1.0,-0.11528150134017344,0.5918181818163885
UGC04325,20.4209,91.5,0.144,8,0.0,0.42959981132660674,1.786048318113716,1.0,-0.012944983818756292,0.5180327868846798
UGC04483,4.1623,24.2,0.0686,8,0.0,0.8397451150044657,1.290279528920517,1.0,-0.004115226337431683,0.6483471074353375
UGC04499,5.6849,74.3,0.1306,9,0.0,0.6245901190386421,1.4075778403309063,1.0,0.0,0.484522207267181
UGC05005,12.0904,99.1,0.0639,11,0.0,0.7722378136510252,1.436814394889434,1.0,-0.008999999999991057,0.4399596367301313
