galaxy,n_points,rmse_kms,v_flat_kms,g_bar_max_over_a0,g_bar_min_over_a0,lam_opt,a0,ml_disk,ml_bul
UGC06930,10,8.0588,108.00,0.2131,0.047324,0.000000,1.210000e-10,0.5,0.7
UGC06973,9,37.1815,180.00,10.3828,0.589067,0.000000,1.210000e-10,0.5,0.7
UGC06983,17,12.6847,109.00,0.2547,0.041111,0.000000,1.210000e-10,0.5,0.7
UGC07089,12,10.9836,79.10,0.1070,0.050645,0.000000,1.210000e-10,0.5,0.7
UGC07125,13,27.2453,64.90,0.0887,0.021929,0.000000,1.210000e-10,0.5,0.7
UGC07151,11,4.3719,76.20,0.1973,0.094726,0.000000,1.210000e-10,0.5,0.7
UGC07261,7,5.6413,76.10,0.1866,0.060039,0.000000,1.210000e-10,0.5,0.7
UGC07323,10,4.8369,85.60,0.1427,0.112289,0.000000,1.210000e-10,0.5,0.7
UGC07399,10,30.8452,106.00,0.2272,0.049584,0.000000,1.210000e-10,0.5,0.7
UGC07524,31,5.4104,79.00,0.0910,0.041866,0.000000,1.210000e-10,0.5,0.7
UGC07559,7,8.9715,32.10,0.0543,0.039701,0.000000,1.210000e-10,0.5,0.7
UGC07577,9,12.2751,17.80,0.0303,0.003674,0.000000,1.210000e-10,0.5,0.7
UGC07603,12,8.9805,64.00,0.1694,0.033452,0.000000,1.210000e-10,0.5,0.7
UGC07608,8,9.2576,69.30,0.0400,0.028443,0.000000,1.210000e-10,0.5,0.7
UGC07690,7,5.4109,55.90,0.4834,0.063994,0.000000,1.210000e-10,0.5,0.7
UGC07866,7,6.6555,33.10,0.0472,0.039170,0.000000,1.210000e-10,0.5,0.7
UGC08286,17,14.1622,84.30,0.0985,0.035583,0.000000,1.210000e-10,0.5,0.7
UGC08490,30,12.2495,77.60,0.3274,0.019177,0.000000,1.210000e-10,0.5,0.7
UGC08550,11,4.9797,57.50,0.1031,0.027414,0.000000,1.210000e-10,0.5,0.7
UGC08699,41,24.7997,183.00,24.1234,0.063884,0.000000,1.210000e-10,0.5,0.7
UGC08837,8,12.4848,48.00,0.0625,0.025310,0.000000,1.210000e-10,0.5,0.7
UGC09037,22,24.1531,152.00,1.0403,0.093069,0.000000,1.210000e-10,0.5,0.7
UGC09133,68,26.4532,229.00,25.9355,0.022173,0.000000,1.210000e-10,0.5,0.7
UGC09992,5,13.3073,34.30,0.0848,0.037944,0.000000,1.210000e-10,0.5,0.7
UGC10310,7,6.2634,73.20,0.0817,0.054783,0.000000,1.210000e-10,0.5,0.7
UGC11455,36,19.4609,266.00,1.4290,0.150229,0.000000,1.210000e-10,0.5,0.7
UGC11557,12,26.9926,84.50,0.3045,0.107555,0.000000,1.210000e-10,0.5,0.7
UGC11820,10,7.6114,84.45,0.0820,0.023632,0.000000,1.210000e-10,0.5,0.7
UGC11914,65,48.0547,305.00,30.8184,1.005791,0.000000,1.210000e-10,0.5,0.7
UGC12506,31,50.7714,225.00,0.4435,0.071257,0.000000,1.210000e-10,0.5,0.7
UGC12632,15,6.4174,73.10,0.0438,0.032180,0.000000,1.210000e-10,0.5,0.7
UGC12732,16,6.7166,98.00,0.0606,0.029567,0.000000,1.210000e-10,0.5,0.7
UGCA281,7,1.5193,29.50,0.1098,0.030270,0.000000,1.210000e-10,0.5,0.7
UGCA442,8,2.6284,56.50,0.0608,0.014257,0.000000,1.210000e-10,0.5,0.7
UGCA444,36,3.6861,38.30,0.0514,0.003848,0.000000,1.210000e-10,0.5,0.7
